Sample:float,Data:float,Data2:float
"188.0","1.7761170864105225","1.722124457359314"
"189.0","1.7769230604171753","1.722124457359314"
"190.0","1.7769230604171753","1.722124457359314"
"191.0","1.7769230604171753","1.725347876548767"
"192.0","1.7736995220184326","1.7293771505355835"
"193.0","1.7736995220184326","1.7285714149475098"
"194.0","1.7745054960250854","1.727765440940857"
"195.0","1.7736995220184326","1.7269595861434937"
"196.0","1.7753112316131592","1.727765440940857"
"197.0","1.772087812423706","1.7269595861434937"
"198.0","1.772087812423706","1.7309889793395996"
"199.0","1.7712819576263428","1.7309889793395996"
"200.0","1.7745054960250854","1.7334065437316895"
"201.0","1.7728936672210693","1.7342123985290527"
"202.0","1.7736995220184326","1.7326006889343262"
"203.0","1.7728936672210693","1.7301831245422363"
"204.0","1.7712819576263428","1.7342123985290527"
"205.0","1.7704761028289795","1.7358239889144897"
"206.0","1.7736995220184326","1.7334065437316895"
"207.0","1.7745054960250854","1.7326006889343262"
"208.0","1.7736995220184326","1.7326006889343262"
"209.0","1.7704761028289795","1.735018253326416"
"210.0","1.7704761028289795","1.7342123985290527"
"211.0","1.7712819576263428","1.7342123985290527"
"212.0","1.7704761028289795","1.7334065437316895"
"213.0","1.7704761028289795","1.7334065437316895"
"214.0","1.7704761028289795","1.7342123985290527"
"215.0","1.7736995220184326","1.7326006889343262"
"216.0","1.7704761028289795","1.7342123985290527"
"217.0","1.7704761028289795","1.7342123985290527"
"218.0","1.7696702480316162","1.7374358177185059"
"219.0","1.7704761028289795","1.7374358177185059"
"220.0","1.7696702480316162","1.7358239889144897"
"221.0","1.7712819576263428","1.7326006889343262"
"222.0","1.7712819576263428","1.7334065437316895"
"223.0","1.7712819576263428","1.735018253326416"
"224.0","1.7704761028289795","1.7342123985290527"
"225.0","1.768864393234253","1.7366299629211426"
"226.0","1.768864393234253","1.7382416725158691"
"227.0","1.7704761028289795","1.7382416725158691"
"228.0","1.7704761028289795","1.7374358177185059"
"229.0","1.7704761028289795","1.735018253326416"
"230.0","1.7704761028289795","1.7326006889343262"
"231.0","1.7704761028289795","1.7342123985290527"
"232.0","1.7696702480316162","1.7382416725158691"
"233.0","1.7696702480316162","1.7366299629211426"
"234.0","1.7704761028289795","1.7342123985290527"
"235.0","1.7704761028289795","1.7342123985290527"
"236.0","1.768864393234253","1.735018253326416"
"237.0","1.768864393234253","1.7374358177185059"
"238.0","1.7704761028289795","1.7390475273132324"
"239.0","1.7704761028289795","1.735018253326416"
"240.0","1.7712819576263428","1.7342123985290527"
"241.0","1.7712819576263428","1.7342123985290527"
"242.0","1.768864393234253","1.7382416725158691"
"243.0","1.768864393234253","1.7382416725158691"
"244.0","1.7696702480316162","1.7374358177185059"
"245.0","1.7712819576263428","1.7334065437316895"
"246.0","1.7704761028289795","1.7342123985290527"
"247.0","1.7704761028289795","1.7342123985290527"
"248.0","1.7712819576263428","1.735018253326416"
"249.0","1.7712819576263428","1.7342123985290527"
"250.0","1.7696702480316162","1.735018253326416"
"251.0","1.772087812423706","1.7366299629211426"
"252.0","1.7704761028289795","1.7342123985290527"
"253.0","1.7704761028289795","1.7358239889144897"
"254.0","1.7704761028289795","1.735018253326416"
"255.0","1.7712819576263428","1.7334065437316895"
"256.0","1.7704761028289795","1.735018253326416"
"257.0","1.7704761028289795","1.735018253326416"
"258.0","1.7704761028289795","1.735018253326416"
"259.0","1.7704761028289795","1.7342123985290527"
"260.0","1.7704761028289795","1.735018253326416"
"261.0","1.7704761028289795","1.735018253326416"
"262.0","1.7704761028289795","1.735018253326416"
"263.0","1.7704761028289795","1.7342123985290527"
"264.0","1.7704761028289795","1.7358239889144897"
"265.0","1.7704761028289795","1.7342123985290527"
"266.0","1.7704761028289795","1.7342123985290527"
"267.0","1.7712819576263428","1.7358239889144897"
"268.0","1.7704761028289795","1.7334065437316895"
"269.0","1.7696702480316162","1.7334065437316895"
"270.0","1.7696702480316162","1.7358239889144897"
"271.0","1.7696702480316162","1.7334065437316895"
"272.0","1.7704761028289795","1.7342123985290527"
"273.0","1.7712819576263428","1.735018253326416"
"274.0","1.7704761028289795","1.735018253326416"
"275.0","1.7712819576263428","1.735018253326416"
"276.0","1.7704761028289795","1.7358239889144897"
"277.0","1.768864393234253","1.7334065437316895"
"278.0","1.768864393234253","1.735018253326416"
"279.0","1.7704761028289795","1.7342123985290527"
"280.0","1.7696702480316162","1.7342123985290527"
"281.0","1.7712819576263428","1.735018253326416"
"282.0","1.7704761028289795","1.735018253326416"
"283.0","1.7704761028289795","1.735018253326416"
"284.0","1.7704761028289795","1.7326006889343262"
"285.0","1.7712819576263428","1.735018253326416"
"286.0","1.7704761028289795","1.735018253326416"
"287.0","1.7704761028289795","1.7342123985290527"
"288.0","1.7704761028289795","1.735018253326416"
"289.0","1.7704761028289795","1.7342123985290527"
"290.0","1.7696702480316162","1.735018253326416"
"291.0","1.7696702480316162","1.7342123985290527"
"292.0","1.7704761028289795","1.7342123985290527"
"293.0","1.7712819576263428","1.7358239889144897"
"294.0","1.7712819576263428","1.735018253326416"
"295.0","1.7712819576263428","1.735018253326416"
"296.0","1.7704761028289795","1.735018253326416"
"297.0","1.7712819576263428","1.7358239889144897"
"298.0","1.7704761028289795","1.7358239889144897"
"299.0","1.7696702480316162","1.7342123985290527"
"300.0","1.7704761028289795","1.735018253326416"
"301.0","1.7704761028289795","1.7342123985290527"
"302.0","1.7712819576263428","1.735018253326416"
"303.0","1.7704761028289795","1.7326006889343262"
"304.0","1.7696702480316162","1.735018253326416"
"305.0","1.7704761028289795","1.7342123985290527"
"306.0","1.7704761028289795","1.735018253326416"
"307.0","1.7704761028289795","1.7342123985290527"
"308.0","1.7704761028289795","1.7342123985290527"
"309.0","1.7712819576263428","1.735018253326416"
"310.0","1.7704761028289795","1.735018253326416"
"311.0","1.7712819576263428","1.7358239889144897"
"312.0","1.7704761028289795","1.735018253326416"
"313.0","1.7696702480316162","1.735018253326416"
"314.0","1.7704761028289795","1.735018253326416"
"315.0","1.7712819576263428","1.735018253326416"
"316.0","1.7704761028289795","1.7342123985290527"
"317.0","1.7704761028289795","1.735018253326416"
"318.0","1.7704761028289795","1.735018253326416"
"319.0","1.7712819576263428","1.7358239889144897"
"320.0","1.7704761028289795","1.7366299629211426"
"321.0","1.7704761028289795","1.7342123985290527"
"322.0","1.7696702480316162","1.7334065437316895"
"323.0","1.7712819576263428","1.7358239889144897"
"324.0","1.7704761028289795","1.735018253326416"
"325.0","1.7696702480316162","1.7342123985290527"
"326.0","1.7712819576263428","1.7358239889144897"
"327.0","1.7704761028289795","1.7342123985290527"
"328.0","1.7704761028289795","1.7342123985290527"
"329.0","1.7704761028289795","1.735018253326416"
"330.0","1.7696702480316162","1.7358239889144897"
"331.0","1.7704761028289795","1.735018253326416"
"332.0","1.772087812423706","1.735018253326416"
"333.0","1.7704761028289795","1.735018253326416"
"334.0","1.7704761028289795","1.7342123985290527"
"335.0","1.7704761028289795","1.7358239889144897"
"336.0","1.7704761028289795","1.7334065437316895"
"337.0","1.7704761028289795","1.735018253326416"
"338.0","1.7704761028289795","1.735018253326416"
"339.0","1.7696702480316162","1.735018253326416"
"340.0","1.7712819576263428","1.735018253326416"
